subClass,CountNodes
Actor,28
AdministrativeRegion,388
AdultActor,1
Album,3003
Ambassador,2
Amphibian,3
Artist,1944
Astronaut,1
Athlete,1
Award,1
Band,881
Bank,2
Bird,10
Book,21
City,317
ClassicalMusicArtist,2
Comedian,13
Company,331
Country,242
Economist,2
EducationalInstitution,4
FashionDesigner,2
Film,4352
Fungus,1
GovernmentAgency,6
Guitarist,4
Hotel,2
Insect,63
Island,2
Language,20
Mammal,4
MartialArtist,2
MemberOfParliament,1
MilitaryConflict,404
MilitaryPerson,315
MilitaryUnit,1
Model,1
Monarch,18
MusicGenre,22
MusicalArtist,1069
MusicalWork,40
Noble,20
Non-ProfitOrganisation,4
OfficeHolder,976
Organisation,9
Painter,93
Person,1344
Philosopher,3
Politician,6
PopulatedPlace,1482
President,14
PrimeMinister,5
PublicTransitSystem,2
Publisher,4
RecordLabel,12
Reptile,17
River,169
Royalty,95
Scientist,275
Sea,5
Settlement,1732
Single,2345
SoccerClub,599
SoccerManager,11
SoccerPlayer,2069
Song,8
Species,65
TelevisionShow,4
Town,128
University,88
Village,118
Work,46
Writer,222
owl#Thing,4
