Key,Source,Target
1,Activity,owl#Thing
2,Name,owl#Thing
3,Person,Animal
4,Place,owl#Thing
5,Publisher,Company
6,Genre,TopicalConcept
7,Language,owl#Thing
8,Department,GovernmentalAdministrativeRegion
9,Software,Work
10,School,EducationalInstitution
11,Type,TopicalConcept
12,Agent,owl#Thing
13,Biomolecule,owl#Thing
14,Cartoon,work
15,Case,UnitOfWork
16,CelestialBody,Place
17,ChemicalSubstance,owl#Thing
18,Document,Work
19,Gene,Biomolecule
20,GridironFootballPlayer,Athlete
21,Identifier,owl#Thing
22,Infrastructure,ArchitecturalStructure
23,LegalCase,Case
24,MeanOfTransportation,owl#Thing
25,MotorsportRacer,Athlete
26,NaturalPlace,Place
27,OrganisationMember,Person
28,Project,UnitOfWork
29,Region,PopulatedPlace
30,RouteOfTransportation,Infrastructure
31,UnitOfWork,owl#Thing
32,Work,owl#Thing
33,Image,Document
34,AustralianFootballTeam,SportsTeam
35,Database,Work
36,SportFacility,ArchitecturalStructure
37,TopicalConcept,owl#Thing
38,Municipality,GovernmentalAdministrativeRegion
39,RaceTrack,SportFacility
40,Tower,ArchitecturalStructure
41,SportCompetitionResult,owl#Thing
42,Academic,Person
43,AcademicConference,SocietalEvent
44,AdultActor,Actor
45,AmateurBoxer,Boxer
46,Amphibian,Animal
47,AnatomicalStructure,owl#Thing
48,Animal,Eukaryote
49,Arachnid,Animal
50,Archaea,Species
51,Archbishop,ChristianBishop
52,Architect,Person
53,Artery,AnatomicalStructure
54,Astronaut,Person
55,Athlete,Person
56,AustralianRulesFootballPlayer,Athlete
57,Bacteria,Species
58,BadmintonPlayer,Athlete
59,BaseballPlayer,Athlete
60,BasketballPlayer,Athlete
61,BeachVolleyballPlayer,VolleyballPlayer
62,BeautyQueen,Person
63,BiologicalDatabase,Database
64,Bodybuilder,Athlete
65,Bone,AnatomicalStructure
66,Boxer,Athlete
67,Brain,AnatomicalStructure
68,Brewery,Company
69,BusinessPerson,Person
70,Canal,Stream
71,Canoeist,Athlete
72,Cardinal,Cleric
73,CareerStation,TimePeriod
74,Cave,NaturalPlace
75,Chef,Person
76,ChessPlayer,Athlete
77,ChristianBishop,Cleric
78,Cleric,Person
79,CollegeCoach,Coach
80,Colour,owl#Thing
81,Crater,NaturalPlace
82,CricketGround,SportFacility
83,Cricketer,Athlete
84,Crustacean,Animal
85,Curler,WinterSportPlayer
86,Currency,owl#Thing
87,Cyclist,Athlete
88,Dam,Infrastructure
89,DartsPlayer,Athlete
90,Deity,Agent
91,Economist,Person
92,Engineer,Person
93,Entomologist,Scientist
94,Eukaryote,Species
95,FigureSkater,WinterSportPlayer
96,Fish,Animal
97,FormerMunicipality,Municipality
98,FormulaOneTeam,SportsTeam
99,Fungus,Eukaryote
100,GaelicGamesPlayer,Athlete
101,Garden,Place
102,GivenName,Name
103,Glacier,NaturalPlace
104,GolfCourse,SportFacility
105,GolfPlayer,Athlete
106,Grape,FloweringPlant
107,Gymnast,Athlete
108,HandballPlayer,Athlete
109,HandballTeam,SportsTeam
110,HistoricalEvent,SocietalEvent
111,Horse,Mammal
112,HorseTrainer,Person
113,IceHockeyPlayer,WinterSportPlayer
114,Island,PopulatedPlace
115,Jockey,Athlete
116,Journalist,Person
117,LacrossePlayer,Athlete
118,Lighthouse,Tower
119,Mammal,Animal
120,Medician,Scientist
121,MilitaryService,CareerStation
122,Mineral,ChemicalSubstance
123,Model,Person
124,Mollusca,Animal
125,Motorcycle,MeanOfTransportation
126,MotorcycleRider,MotorsportRacer
127,MountainPass,NaturalPlace
128,Muscle,AnatomicalStructure
129,Nerve,AnatomicalStructure
130,NetballPlayer,Athlete
131,Noble,Person
132,PokerPlayer,Athlete
133,PoliceOfficer,Person
134,PopulatedPlace,Place
135,Priest,Cleric
136,PublicTransitSystem,Company
137,Racecourse,RaceTrack
138,RailwayTunnel,RouteOfTransportation
139,Rocket,MeanOfTransportation
140,Sailor,Athlete
141,Scientist,Person
142,SiteOfSpecialScientificInterest,Place
143,Skater,WinterSportPlayer
144,SkiArea,SportFacility
145,Skier,WinterSportPlayer
146,SnookerPlayer,Athlete
147,SoccerManager,SportsManager
148,SoccerPlayer,Athlete
149,Species,owl#Thing
150,SpeedwayRider,MotorcycleRider
151,Sport,Activity
152,Spy,Person
153,SquashPlayer,Athlete
154,SumoWrestler,Wrestler
155,Swimmer,Athlete
156,TableTennisPlayer,Athlete
157,TelevisionHost,Presenter
158,TennisPlayer,Athlete
159,Tunnel,ArchitecturalStructure
160,Vein,AnatomicalStructure
161,Volcano,NaturalPlace
162,VolleyballPlayer,Athlete
163,WineRegion,Place
164,Winery,Company
165,WorldHeritageSite,Place
166,MusicalWork,Work
167,WaterwayTunnel,RouteOfTransportation
168,AmericanFootballCoach,Coach
169,CricketTeam,SportsTeam
170,MilitaryPerson,Person
171,SpeedwayTeam,SportsTeam
172,BroadcastNetwork,Broadcaster
173,Fashion,TopicalConcept
174,Galaxy,CelestialBody
175,LawFirm,Company
176,MartialArtist,Athlete
177,River,Stream
178,Wrestler,Athlete
179,Youtuber,Person
180,AmericanLeader,Person
181,ArchitecturalStructure,owl#Thing
182,ChristianPatriarch,Cleric
183,College,EducationalInstitution
184,ConcentrationCamp,Place
185,Continent,PopulatedPlace
186,Judge,Person
187,Ligament,AnatomicalStructure
188,Lymph,AnatomicalStructure
189,NationalCollegiateAthleticAssociationAthlete,Athlete
190,Pilot,Person
191,Rower,Athlete
192,Surname,Name
193,VoiceActor,Actor
194,Diocese,ClericalAdministrativeRegion
195,Embryology,AnatomicalStructure
196,HorseRider,Athlete
197,PlayboyPlaymate,Person
198,SnookerChamp,SnookerPlayer
199,VolleyballCoach,Coach
200,Presenter,Person
201,TimePeriod,owl#Thing
202,HollywoodCartoon,Cartoon
203,Coach,Person
204,SportsManager,Person
205,WinterSportPlayer,Athlete
206,MusicFestival,SocietalEvent
207,Constellation,CelestialBody
208,MedicalSpecialty,owl#Thing
209,LaunchPad,Infrastructure
210,SpaceStation,MeanOfTransportation
211,AcademicJournal,PeriodicalLiterature
212,AdministrativeRegion,Region
213,Aircraft,MeanOfTransportation
214,Airport,Infrastructure
215,Album,MusicalWork
216,AmericanFootballPlayer,GridironFootballPlayer
217,AmusementParkAttraction,ArchitecturalStructure
218,Anime,Cartoon
219,Artist,Person
220,ArtistDiscography,MusicalWork
221,Artwork,Work
222,Asteroid,CelestialBody
223,Automobile,MeanOfTransportation
224,Award,owl#Thing
225,Band,Group
226,Bank,Company
227,BaseballSeason,SportsTeamSeason
228,BasketballTeam,SportsTeam
229,BodyOfWater,NaturalPlace
230,Bridge,RouteOfTransportation
231,Building,ArchitecturalStructure
232,BusCompany,PublicTransitSystem
233,ChemicalCompound,ChemicalSubstance
234,ClassicalMusicComposition,MusicalWork
235,ComedyGroup,Group
236,Convention,SocietalEvent
237,Criminal,Person
238,CyclingRace,Race
239,CyclingTeam,SportsTeam
240,Device,owl#Thing
241,Disease,owl#Thing
242,Drug,ChemicalSubstance
243,Earthquake,NaturalEvent
244,Election,SocietalEvent
245,Enzyme,Biomolecule
246,EthnicGroup,owl#Thing
247,Event,owl#Thing
248,Film,Work
249,FilmFestival,SocietalEvent
250,Food,owl#Thing
251,FootballLeagueSeason,SportsTeamSeason
252,Game,Activity
253,GolfTournament,Tournament
254,HistoricPlace,Place
255,HockeyTeam,SportsTeam
256,Holiday,TimeInterval
257,HorseRace,Race
258,Hospital,building
259,HumanGene,Gene
260,Insect,Animal
261,Library,EducationalInstitution
262,Locomotive,MeanOfTransportation
263,Magazine,PeriodicalLiterature
264,MilitaryConflict,SocietalEvent
265,MilitaryStructure,ArchitecturalStructure
266,Monument,ArchitecturalStructure
267,Mountain,NaturalPlace
268,Musical,MusicalWork
269,NCAATeamSeason,SportsTeamSeason
270,Newspaper,PeriodicalLiterature
271,Organisation,Agent
272,Pandemic,owl#Thing
273,Park,Place
274,PersonFunction,owl#Thing
275,Philosopher,Person
276,Planet,CelestialBody
277,Plant,Eukaryote
278,Politician,Person
279,PowerStation,Infrastructure
280,ProgrammingLanguage,Language
281,ProtectedArea,Place
282,Protein,Biomolecule
283,RacingDriver,MotorsportRacer
284,RadioHost,Presenter
285,RadioProgram,Work
286,RadioStation,Broadcaster
287,RailwayLine,RouteOfTransportation
288,RecordLabel,Company
289,Religious,Person
290,Reptile,Animal
291,ResearchProject,Project
292,Road,RouteOfTransportation
293,RoadJunction,RouteOfTransportation
294,Royalty,Person
295,RugbyClub,SportsClub
296,RugbyPlayer,Athlete
297,Sales,Activity
298,Settlement,PopulatedPlace
299,Ship,MeanOfTransportation
300,Single,MusicalWork
301,SoccerClub,SportsClub
302,SoccerClubSeason,SportsTeamSeason
303,SoccerTournament,Tournament
304,Song,MusicalWork
305,Sound,Document
306,SpaceMission,SocietalEvent
307,SportsEvent,SocietalEvent
308,SportsSeason,owl#Thing
309,SportsTeamMember,OrganisationMember
310,Star,CelestialBody
311,Station,Infrastructure
312,SupremeCourtOfTheUnitedStatesCase,LegalCase
313,TelevisionEpisode,Work
314,TelevisionSeason,Work
315,TelevisionShow,Work
316,TelevisionStation,Broadcaster
317,TennisTournament,Tournament
318,Tenure,TimePeriod
319,TopLevelDomain,Identifier
320,Train,MeanOfTransportation
321,University,EducationalInstitution
322,VideoGame,Software
323,Website,Work
324,WomensTennisAssociationTournament,Tournament
325,Writer,Person
