Type,X,Y,Size,Color,Degree,ModularityClass
Activity,-165.94534,83.2217,2.852459,#F3E74FFE,4,27
owl#Thing,-182.7332,2.3970292,15,#FF0004,61,3
Name,-165.18654,-41.903034,2.6393442,#F3EA51,3,3
Person,232.11038,17.940498,13.721312,#FC1D03,55,35
Animal,124.56508,5.5058556,4.344262,#F3D03EFE,11,11
Place,-262.07492,-155.90399,5.196721,#F4C234,15,4
Publisher,-24.56366,-326.24377,2.2131147,#EFF3C2,1,22
Company,-14.576294,-321.49954,3.918033,#F3D643FE,9,22
Genre,-304.48065,182.91718,3.0655737,#F3E44C,5,0
TopicalConcept,-271.32535,143.75531,5.409836,#F4BF31,16,0
Language,-212.30347,-28.04838,2.4262295,#F1EF89,2,3
Department,-347.5976,-371.36423,2.4262295,#F1EF89,2,18
GovernmentalAdministrativeRegion,-329.39633,-371.94846,4.557377,#F3CC3B,12,18
Software,-382.34485,162.07162,2.4262295,#F1EF89,2,8
Work,-383.90195,141.29005,5.196721,#F4C234,15,8
School,17.636383,-247.94675,2.2131147,#EFF3C2,1,31
EducationalInstitution,7.6223907,-254.30188,3.0655737,#F3E44C,5,31
Type,-273.1178,176.12349,2.6393442,#F3EA51,3,0
Agent,-97.4439,-137.93005,3.2786884,#F3E04A,6,30
Biomolecule,-125.566666,-72.48327,3.4918032,#F3DD47,7,1
Cartoon,-13.054237,-120.32643,2.6393442,#F3EA51,3,2
work,-14.593147,-128.61769,2.2131147,#EFF3C2,1,2
Case,-153.59245,-99.12958,2.4262295,#F1EF89,2,3
UnitOfWork,-166.71114,-66.645966,2.6393442,#F3EA51,3,3
CelestialBody,-226.3568,-206.25073,3.918033,#F3D643FE,9,4
ChemicalSubstance,-97.17996,-43.664284,3.0655737,#F3E44C,5,13
Document,-413.46378,109.4501,2.852459,#F3E74FFE,4,8
Gene,-108.8222,-92.818985,2.4262295,#F1EF89,2,1
GridironFootballPlayer,198.0849,185.80583,2.6393442,#F3EA51,3,16
Athlete,219.79092,148.26036,11.590164,#F94F01,45,16
Identifier,-223.99323,0.7609496,2.4262295,#F1EF89,2,3
Infrastructure,-160.90645,325.19214,4.344262,#F3D03EFE,11,5
ArchitecturalStructure,-203.5102,193.63351,5.196721,#F4C234,15,15
LegalCase,-145.44302,-118.84628,2.4262295,#F1EF89,2,3
MeanOfTransportation,-304.94855,-105.86555,5.196721,#F4C234,15,6
MotorsportRacer,164.08658,202.97401,2.6393442,#F3EA51,3,14
NaturalPlace,-366.65436,-211.83289,5.409836,#F4BF31,16,20
OrganisationMember,239.39722,57.020798,2.4262295,#F1EF89,2,35
Project,-163.30542,-83.9083,2.4262295,#F1EF89,2,3
