subClass,Class
Activity,owl#Thing
Name,owl#Thing
Place,owl#Thing
Publisher,Company
Genre,TopicalConcept
Language,owl#Thing
Department,GovernmentalAdministrativeRegion
Software,Work
Type,TopicalConcept
Agent,owl#Thing
Biomolecule,owl#Thing
Cartoon,work
Case,UnitOfWork
CelestialBody,Place
ChemicalSubstance,owl#Thing
Document,Work
Gene,Biomolecule
Identifier,owl#Thing
LegalCase,Case
MeanOfTransportation,owl#Thing
NaturalPlace,Place
OrganisationMember,Person
Project,UnitOfWork
RouteOfTransportation,Infrastructure
UnitOfWork,owl#Thing
Work,owl#Thing
Image,Document
AustralianFootballTeam,SportsTeam
Database,Work
TopicalConcept,owl#Thing
Municipality,GovernmentalAdministrativeRegion
RaceTrack,SportFacility
SportCompetitionResult,owl#Thing
Academic,Person
AcademicConference,SocietalEvent
AdultActor,Actor
AnatomicalStructure,owl#Thing
Architect,Person
Astronaut,Person
Athlete,Person
BeautyQueen,Person
BiologicalDatabase,Database
Brewery,Company
BusinessPerson,Person
Canal,Stream
Cave,NaturalPlace
Chef,Person
Cleric,Person
Colour,owl#Thing
Crater,NaturalPlace
CricketGround,SportFacility
Currency,owl#Thing
Dam,Infrastructure
Deity,Agent
Economist,Person
Engineer,Person
FormulaOneTeam,SportsTeam
Garden,Place
GivenName,Name
Glacier,NaturalPlace
GolfCourse,SportFacility
Grape,FloweringPlant
HandballTeam,SportsTeam
HistoricalEvent,SocietalEvent
HorseTrainer,Person
Journalist,Person
Mineral,ChemicalSubstance
Model,Person
Motorcycle,MeanOfTransportation
MotorcycleRider,MotorsportRacer
MountainPass,NaturalPlace
Noble,Person
PoliceOfficer,Person
PopulatedPlace,Place
PublicTransitSystem,Company
RailwayTunnel,RouteOfTransportation
Rocket,MeanOfTransportation
Scientist,Person
SiteOfSpecialScientificInterest,Place
SkiArea,SportFacility
Species,owl#Thing
Sport,Activity
Spy,Person
Volcano,NaturalPlace
WineRegion,Place
Winery,Company
WorldHeritageSite,Place
MusicalWork,Work
WaterwayTunnel,RouteOfTransportation
CricketTeam,SportsTeam
MilitaryPerson,Person
SpeedwayTeam,SportsTeam
BroadcastNetwork,Broadcaster
Fashion,TopicalConcept
Galaxy,CelestialBody
LawFirm,Company
River,Stream
Youtuber,Person
AmericanLeader,Person
ArchitecturalStructure,owl#Thing
ConcentrationCamp,Place
Judge,Person
Pilot,Person
Surname,Name
VoiceActor,Actor
Diocese,ClericalAdministrativeRegion
PlayboyPlaymate,Person
Presenter,Person
TimePeriod,owl#Thing
HollywoodCartoon,Cartoon
Coach,Person
SportsManager,Person
MusicFestival,SocietalEvent
Constellation,CelestialBody
MedicalSpecialty,owl#Thing
LaunchPad,Infrastructure
SpaceStation,MeanOfTransportation
AcademicJournal,PeriodicalLiterature
AdministrativeRegion,Region
Aircraft,MeanOfTransportation
Airport,Infrastructure
AmericanFootballPlayer,GridironFootballPlayer
Anime,Cartoon
Artist,Person
Artwork,Work
Asteroid,CelestialBody
Automobile,MeanOfTransportation
Award,owl#Thing
Band,Group
Bank,Company
BaseballSeason,SportsTeamSeason
BasketballTeam,SportsTeam
BodyOfWater,NaturalPlace
Bridge,RouteOfTransportation
ChemicalCompound,ChemicalSubstance
ComedyGroup,Group
Convention,SocietalEvent
Criminal,Person
CyclingRace,Race
CyclingTeam,SportsTeam
Device,owl#Thing
Disease,owl#Thing
Drug,ChemicalSubstance
Earthquake,NaturalEvent
Election,SocietalEvent
Enzyme,Biomolecule
EthnicGroup,owl#Thing
Event,owl#Thing
Film,Work
FilmFestival,SocietalEvent
Food,owl#Thing
FootballLeagueSeason,SportsTeamSeason
Game,Activity
GolfTournament,Tournament
HistoricPlace,Place
HockeyTeam,SportsTeam
Holiday,TimeInterval
HorseRace,Race
Hospital,building
HumanGene,Gene
Locomotive,MeanOfTransportation
Magazine,PeriodicalLiterature
MilitaryConflict,SocietalEvent
Mountain,NaturalPlace
NCAATeamSeason,SportsTeamSeason
Newspaper,PeriodicalLiterature
Organisation,Agent
Pandemic,owl#Thing
Park,Place
PersonFunction,owl#Thing
Philosopher,Person
Planet,CelestialBody
Politician,Person
PowerStation,Infrastructure
ProgrammingLanguage,Language
ProtectedArea,Place
Protein,Biomolecule
RacingDriver,MotorsportRacer
RadioProgram,Work
RadioStation,Broadcaster
RailwayLine,RouteOfTransportation
RecordLabel,Company
Religious,Person
ResearchProject,Project
Road,RouteOfTransportation
RoadJunction,RouteOfTransportation
Royalty,Person
RugbyClub,SportsClub
Sales,Activity
Ship,MeanOfTransportation
SoccerClub,SportsClub
SoccerClubSeason,SportsTeamSeason
SoccerTournament,Tournament
Sound,Document
SpaceMission,SocietalEvent
SportsEvent,SocietalEvent
SportsSeason,owl#Thing
SportsTeamMember,OrganisationMember
Star,CelestialBody
Station,Infrastructure
SupremeCourtOfTheUnitedStatesCase,LegalCase
TelevisionEpisode,Work
TelevisionSeason,Work
TelevisionShow,Work
TelevisionStation,Broadcaster
TennisTournament,Tournament
TopLevelDomain,Identifier
Train,MeanOfTransportation
VideoGame,Software
Website,Work
WomensTennisAssociationTournament,Tournament
Writer,Person
WrittenWork,Work
FictionalCharacter,Agent
MusicGenre,Genre
RoadTunnel,RouteOfTransportation
SpaceShuttle,MeanOfTransportation
AmericanFootballTeam,SportsTeam
BaseballTeam,SportsTeam
SolarEclipse,NaturalEvent
Monarch,Person
MountainRange,NaturalPlace
OfficeHolder,Person
Spacecraft,MeanOfTransportation
Valley,NaturalPlace
AcademicSubject,TopicalConcept
Algorithm,owl#Thing
Altitude,owl#Thing
Archeologist,Person
Archipelago,NaturalPlace
Area,owl#Thing
Aristocrat,Person
Arrondissement,GovernmentalAdministrativeRegion
ArtisticGenre,Genre
Attack,SocietalEvent
Beach,NaturalPlace
Blazon,owl#Thing
Browser,owl#Thing
CanadianFootballPlayer,GridironFootballPlayer
CanadianFootballTeam,SportsTeam
Canton,GovernmentalAdministrativeRegion
Cape,NaturalPlace
CardinalDirection,TopicalConcept
Caterer,Company
Cemetery,Place
ChartsPlacements,owl#Thing
ChemicalElement,ChemicalSubstance
Cipher,owl#Thing
CollectionOfValuables,Work
CountrySeat,Place
Covid19,owl#Thing
DBpedian,Person
Deanery,ClericalAdministrativeRegion
Demographics,owl#Thing
Depth,owl#Thing
Desert,NaturalPlace
Dike,Infrastructure
Diploma,owl#Thing
District,GovernmentalAdministrativeRegion
DistrictWaterBoard,GovernmentalAdministrativeRegion
DocumentType,Type
Egyptologist,Person
ElectionDiagram,owl#Thing
Employer,Agent
Family,Agent
Farmer,Person
File,Document
FileSystem,owl#Thing
Flag,owl#Thing
Forest,NaturalPlace
GeneLocation,owl#Thing
GovernmentType,Type
GrossDomesticProduct,owl#Thing
GrossDomesticProductPerCapita,owl#Thing
HistoricalRegion,Region
HockeyClub,SportsClub
Hormone,Biomolecule
HotSpring,NaturalPlace
Ideology,TopicalConcept
Lawyer,Person
LineOfFashion,Work
Linguist,Person
Lipid,Biomolecule
List,owl#Thing
LiteraryGenre,Genre
Lock,Infrastructure
Man,Person
MathematicalConcept,TopicalConcept
Media,owl#Thing
Medicine,owl#Thing
Meeting,SocietalEvent
MemberResistanceMovement,Person
MicroRegion,GovernmentalAdministrativeRegion
MilitaryVehicle,MeanOfTransportation
Mine,Place
MotorRace,Race
MovieDirector,Person
MovieGenre,Genre
MovingImage,Image
NaturalRegion,Region
Nebula,CelestialBody
On-SiteTransportation,MeanOfTransportation
OverseasDepartment,Department
Parish,ClericalAdministrativeRegion
PhilosophicalConcept,TopicalConcept
PoliticalConcept,TopicalConcept
PoliticianSpouse,Person
Polysaccharide,Biomolecule
Population,owl#Thing
Port,Infrastructure
Prefecture,GovernmentalAdministrativeRegion
Producer,Person
Protocol,owl#Thing
Province,GovernmentalAdministrativeRegion
Psychologist,Person
PublicService,owl#Thing
Rebellion,SocietalEvent
RecordOffice,Non-ProfitOrganisation
Referee,Person
Regency,GovernmentalAdministrativeRegion
Relationship,owl#Thing
RestArea,Infrastructure
RomanEmperor,Person
Satellite,CelestialBody
ScientificConcept,TopicalConcept
Skos,owl#Thing
SoccerLeagueSeason,SportsTeamSeason
Spreadsheet,owl#Thing
Standard,TopicalConcept
StarCluster,owl#Thing
Statistic,owl#Thing
StillImage,Image
StormSurge,NaturalEvent
Swarm,CelestialBody
SystemOfLaw,TopicalConcept
Tank,owl#Thing
Tax,TopicalConcept
Taxon,TopicalConcept
TelevisionDirector,Person
TheatreDirector,Person
TheologicalConcept,TopicalConcept
TrainCarriage,MeanOfTransportation
Tram,MeanOfTransportation
UndergroundJournal,PeriodicalLiterature
Unknown,owl#Thing
Woman,Person
prov:Entity,owl#Thing
prov:Revision,owl#Thing
Person,Animal
School,EducationalInstitution
GridironFootballPlayer,Athlete
Infrastructure,ArchitecturalStructure
MotorsportRacer,Athlete
Region,PopulatedPlace
SportFacility,ArchitecturalStructure
Tower,ArchitecturalStructure
AmateurBoxer,Boxer
Amphibian,Animal
Animal,Eukaryote
Arachnid,Animal
Archaea,Species
Archbishop,ChristianBishop
Artery,AnatomicalStructure
AustralianRulesFootballPlayer,Athlete
Bacteria,Species
BadmintonPlayer,Athlete
BaseballPlayer,Athlete
BasketballPlayer,Athlete
BeachVolleyballPlayer,VolleyballPlayer
Bodybuilder,Athlete
Bone,AnatomicalStructure
Boxer,Athlete
Brain,AnatomicalStructure
Canoeist,Athlete
Cardinal,Cleric
CareerStation,TimePeriod
ChessPlayer,Athlete
ChristianBishop,Cleric
CollegeCoach,Coach
Cricketer,Athlete
Crustacean,Animal
Curler,WinterSportPlayer
Cyclist,Athlete
DartsPlayer,Athlete
Entomologist,Scientist
Eukaryote,Species
FigureSkater,WinterSportPlayer
Fish,Animal
FormerMunicipality,Municipality
Fungus,Eukaryote
GaelicGamesPlayer,Athlete
GolfPlayer,Athlete
Gymnast,Athlete
HandballPlayer,Athlete
Horse,Mammal
IceHockeyPlayer,WinterSportPlayer
Island,PopulatedPlace
Jockey,Athlete
LacrossePlayer,Athlete
Lighthouse,Tower
Mammal,Animal
Medician,Scientist
MilitaryService,CareerStation
Mollusca,Animal
Muscle,AnatomicalStructure
Nerve,AnatomicalStructure
NetballPlayer,Athlete
PokerPlayer,Athlete
Priest,Cleric
Racecourse,RaceTrack
Sailor,Athlete
Skater,WinterSportPlayer
Skier,WinterSportPlayer
SnookerPlayer,Athlete
SoccerManager,SportsManager
SoccerPlayer,Athlete
SpeedwayRider,MotorcycleRider
SquashPlayer,Athlete
SumoWrestler,Wrestler
Swimmer,Athlete
TableTennisPlayer,Athlete
TelevisionHost,Presenter
TennisPlayer,Athlete
Tunnel,ArchitecturalStructure
Vein,AnatomicalStructure
VolleyballPlayer,Athlete
AmericanFootballCoach,Coach
MartialArtist,Athlete
Wrestler,Athlete
ChristianPatriarch,Cleric
College,EducationalInstitution
Continent,PopulatedPlace
Ligament,AnatomicalStructure
Lymph,AnatomicalStructure
NationalCollegiateAthleticAssociationAthlete,Athlete
Rower,Athlete
Embryology,AnatomicalStructure
HorseRider,Athlete
SnookerChamp,SnookerPlayer
VolleyballCoach,Coach
WinterSportPlayer,Athlete
Album,MusicalWork
AmusementParkAttraction,ArchitecturalStructure
ArtistDiscography,MusicalWork
Building,ArchitecturalStructure
BusCompany,PublicTransitSystem
ClassicalMusicComposition,MusicalWork
Insect,Animal
Library,EducationalInstitution
MilitaryStructure,ArchitecturalStructure
Monument,ArchitecturalStructure
Musical,MusicalWork
Plant,Eukaryote
RadioHost,Presenter
Reptile,Animal
RugbyPlayer,Athlete
Settlement,PopulatedPlace
Single,MusicalWork
Song,MusicalWork
Tenure,TimePeriod
University,EducationalInstitution
Year,TimePeriod
YearInSpaceflight,TimePeriod
Airline,PublicTransitSystem
Country,PopulatedPlace
Saint,Cleric
Bird,Animal
Pope,Cleric
SnookerWorldRanking,SportCompetitionResult
Agglomeration,PopulatedPlace
ArcherPlayer,Athlete
Arena,ArchitecturalStructure
Athletics,Sport
AthleticsPlayer,Athlete
Atoll,Island
Biathlete,WinterSportPlayer
Biologist,Scientist
BloodVessel,AnatomicalStructure
BobsleighAthlete,WinterSportPlayer
BullFighter,Athlete
Cat,Mammal
Community,PopulatedPlace
CrossCountrySkier,WinterSportPlayer
Dog,Mammal
Fencer,Athlete
GatedCommunity,PopulatedPlace
GeologicalPeriod,TimePeriod
HighDiver,Athlete
HistoricalPeriod,TimePeriod
Infrastucture,ArchitecturalStructure
Intercommunality,PopulatedPlace
Locality,PopulatedPlace
LunarCrater,Crater
Mill,ArchitecturalStructure
MotocycleRacer,MotorcycleRider
NationalAnthem,MusicalWork
NordicCombined,WinterSportPlayer
OlympicResult,SportCompetitionResult
Opera,MusicalWork
PeriodOfArtisticStyle,TimePeriod
PrehistoricalPeriod,TimePeriod
Professor,Scientist
ProtohistoricalPeriod,TimePeriod
Pyramid,ArchitecturalStructure
Reign,TimePeriod
SkiResort,SkiArea
Ski_jumper,WinterSportPlayer
SpeedSkater,WinterSportPlayer
Square,ArchitecturalStructure
State,PopulatedPlace
Street,PopulatedPlace
SubMunicipality,GovernmentalAdministrativeRegion
Surfer,Athlete
TeamMember,Athlete
TeamSport,Sport
Territory,PopulatedPlace
Vicar,Cleric
WaterPoloPlayer,Athlete
WaterTower,Tower
Zoo,ArchitecturalStructure
Company,Organisation
Actor,Artist
Non-ProfitOrganisation,Organisation
Broadcaster,Organisation
Group,Organisation
NaturalEvent,Event
PeriodicalLiterature,WrittenWork
Race,SportsEvent
SocietalEvent,Event
SportsClub,Organisation
SportsTeamSeason,SportsSeason
Tournament,SportsEvent
FloweringPlant,Plant
ClericalAdministrativeRegion,AdministrativeRegion
Gnetophytes,Plant
Conifer,Plant
InlineHockeyLeague,SportsLeague
SportsTeam,Organisation
Stream,BodyOfWater
BowlingLeague,SportsLeague
GovernmentalAdministrativeRegion,AdministrativeRegion
Ambassador,Politician
AustralianFootballLeague,SportsLeague
AutoRacingLeague,SportsLeague
BaseballLeague,SportsLeague
Castle,Building
Cheese,Food
Cinema,Venue
ClassicalMusicArtist,MusicalArtist
CombinationDrug,Drug
Comedian,Artist
ComicStrip,Comic
ComicsCreator,Artist
Congressman,Politician
Dancer,Artist
EducationalInstitution,Organisation
FashionDesigner,Artist
Governor,Politician
Historian,Writer
JewishLeader,Religious
LatterDaySaint,Religious
Mayor,Politician
MemberOfParliament,Politician
MixedMartialArtsLeague,SportsLeague
MonoclonalAntibody,Drug
MotorcycleRacingLeague,SportsLeague
MythologicalFigure,FictionalCharacter
NascarDriver,RacingDriver
NationalFootballLeagueEvent,SportsEvent
Painter,Artist
Photographer,Artist
Poem,WrittenWork
Poet,Writer
PoloLeague,SportsLeague
President,Politician
Pretender,Royalty
PrimeMinister,Politician
Prison,Building
RailwayStation,Station
Rebbe,Religious
ScreenWriter,Writer
Sea,BodyOfWater
Skyscraper,Building
SoapCharacter,FictionalCharacter
GreenAlga,Plant
AnimangaCharacter,ComicsCharacter
VolleyballLeague,SportsLeague
Stadium,Venue
Vaccine,Drug
FormulaOneRacer,RacingDriver
Senator,Politician
Bay,BodyOfWater
CanadianFootballLeague,SportsLeague
Battery,Device
Chancellor,Politician
CricketLeague,SportsLeague
GolfLeague,SportsLeague
LacrosseLeague,SportsLeague
OlympicEvent,Olympics
SpeedwayLeague,SportsLeague
WaterRide,AmusementParkAttraction
ClubMoss,Plant
Moss,Plant
VideogamesLeague,SportsLeague
Cycad,Plant
BoxingLeague,SportsLeague
AmericanFootballLeague,SportsLeague
Fern,Plant
SoftballLeague,SportsLeague
TennisLeague,SportsLeague
AutomobileEngine,Engine
Beverage,Food
Book,WrittenWork
City,Settlement
CityDistrict,Settlement
Comic,WrittenWork
ComicsCharacter,FictionalCharacter
CultivatedVariety,Plant
Engine,Device
EurovisionSongContestEntry,Song
FootballMatch,SportsEvent
GovernmentAgency,Organisation
GrandPrix,SportsEvent
HistoricBuilding,Building
Hotel,Building
InformationAppliance,Device
Lake,BodyOfWater
Legislature,Organisation
Manga,Comic
MilitaryUnit,Organisation
MotorsportSeason,SportsSeason
Museum,Building
MusicalArtist,Artist
NationalFootballLeagueSeason,FootballLeagueSeason
Olympics,SportsEvent
Outbreak,Event
Pharaoh,Royalty
Play,WrittenWork
PoliticalFunction,PersonFunction
PoliticalParty,Organisation
Restaurant,Building
RollerCoaster,AmusementParkAttraction
RugbyLeague,SportsLeague
ShoppingMall,Building
SoccerLeague,SportsLeague
SportsLeague,Organisation
Theatre,Venue
Town,Settlement
TradeUnion,Organisation
Venue,Building
Village,Settlement
Weapon,Device
WrestlingEvent,SportsEvent
BasketballLeague,SportsLeague
HandballLeague,SportsLeague
IceHockeyLeague,SportsLeague
MixedMartialArtsEvent,SportsEvent
ReligiousBuilding,Building
FieldHockeyLeague,SportsLeague
Ginkgo,Plant
BritishRoyalty,Royalty
CurlingLeague,SportsLeague
Instrumentalist,MusicalArtist
Annotation,WrittenWork
Article,WrittenWork
BackScene,MusicalArtist
Beer,Beverage
BoardGame,Game
BrownDwarf,Star
Camera,Device
Capital,City
CapitalOfRegion,City
CardGame,Game
Casino,Building
Chief,Politician
Church,ReligiousBuilding
Competition,Event
CyclingCompetition,SportsEvent
CyclingLeague,SportsLeague
DTMRacer,RacingDriver
Decoration,Award
Deputy,Politician
DisneyCharacter,FictionalCharacter
Drama,WrittenWork
EmployersOrganisation,Organisation
Factory,Building
FormulaOneRacing,SportsLeague
Fort,MilitaryStructure
GeopoliticalOrganisation,Organisation
GovernmentCabinet,GovernmentAgency
GraveMonument,Monument
HistoricalAreaOfAuthority,AdministrativeRegion
HistoricalCountry,Country
HistoricalSettlement,Settlement
Humorist,Artist
Instrument,Device
InternationalFootballLeagueEvent,SportsEvent
InternationalOrganisation,Organisation
Law,WrittenWork
Letter,WrittenWork
Lieutenant,Politician
LifeCycleEvent,Event
LightNovel,Novel
Manhua,Comic
Manhwa,Comic
Memorial,Monument
MetroStation,Station
MilitaryAircraft,Aircraft
Minister,Politician
MobilePhone,Device
Monastery,ReligiousBuilding
Mosque,ReligiousBuilding
MultiVolumePublication,WrittenWork
Murderer,Criminal
MusicComposer,Writer
MusicDirector,MusicalArtist
NarutoCharacter,FictionalCharacter
NationalSoccerClub,SoccerClub
NobelPrize,Award
NuclearPowerStation,PowerStation
Ocean,BodyOfWater
PaintballLeague,SportsLeague
Painting,Artwork
Parliament,Organisation
PenaltyShootOut,Event
PlayWright,Writer
Profession,PersonFunction
Quote,WrittenWork
